title,category,venue_name,venue_map_url,price_text,tickets_url,detail_url,description,duration_minutes,price_min,price_max,venue_lat,venue_lng,date,time,language,id,price_currency
Boesman en Lena,,,,,https://www.quicket.co.za/events/319618-boesman-en-lena/?preview=t#/,https://woordfees.co.za/program/boesman-en-lena/,,,,,,,,,AFR,boesman-en-lena,
Boklied,,,,,https://www.quicket.co.za/events/318643-boklied/?preview=t,https://woordfees.co.za/program/boklied/,,,,,,,,,AFR,boklied,
Boys R Back,,,,,https://www.quicket.co.za/events/319481-boys-r-back/?preview=t,https://woordfees.co.za/program/boys-r-back/,,,,,,,,,AFR,boys-r-back,
Brandstof,,,,,https://www.quicket.co.za/events/319634-brandstof/?preview=t,https://woordfees.co.za/program/brandstof/,,,,,,,,,AFR,brandstof,
Bridling,,,,,https://www.quicket.co.za/events/318661-bridling/?preview=t,https://woordfees.co.za/program/bridling/,,,,,,,,,AFR,bridling,
Cape Ballet Africa: SALT,,,,,https://www.quicket.co.za/events/318547-cape-ballet-africa/?preview=t,https://woordfees.co.za/program/cape-ballet-africa-salt/,,,,,,,,,AFR,cape-ballet-africa-salt,
Cape Town Camerata: A Cappella,,,,,https://www.quicket.co.za/events/318592-cape-town-camerata-a-cappella/?preview=t,https://woordfees.co.za/program/cape-town-camerata-a-cappella/,,,,,,,,,AFR,cape-town-camerata-a-cappella,
Captain Kwanda’s Fanplastic Adventures,,,,,https://www.quicket.co.za/events/318601-captain-kwandas-fanplastic-adventures/?preview=t,https://woordfees.co.za/program/captain-kwandas-fanplastic-adventures/,,,,,,,,,AFR,captain-kwandas-fanplastic-adventures,
Charl du Plessis: All by Myself,,,,,https://www.quicket.co.za/events/318596-charl-du-plessis-all-by-myself/?preview=t,https://woordfees.co.za/program/charl-du-plessis-all-by-myself/,,,,,,,,,AFR,charl-du-plessis-all-by-myself,
Climate-Smart Agriculture,,,,,,https://woordfees.co.za/program/climate-smart-agriculture/,,,,,,,,,AFR,climate-smart-agriculture,
Coenie de Villiers: Wie kan my sê van die liefde?,,,,,https://www.quicket.co.za/events/318603-coenie-de-villiers-wie-kan-my-s-van-die-liefde/?preview=t,https://woordfees.co.za/program/coenie-de-villiers-wie-kan-my-se-van-die-liefde/,,,,,,,,,AFR,coenie-de-villiers-wie-kan-my-sê-van-die-liefde,
Coffee Snobs: Die reis,,,,,https://www.quicket.co.za/events/318638-coffee-snobs-die-reis/?preview=t,https://woordfees.co.za/program/coffee-snobs-die-reis/,,,,,,,,,AFR,coffee-snobs-die-reis,
Coffee and Cigarettes,,,,,https://www.quicket.co.za/events/319849-neem-deel-coffee-and-cigarettes/?preview=t,https://woordfees.co.za/program/coffee-and-cigarettes/,,,,,,,,,AFR,coffee-and-cigarettes,
Comrades-legende: Louis Massyn,,,,,https://www.quicket.co.za/events/319636-comrades-legende-louis-massyn/?preview=t,https://woordfees.co.za/program/comrades-legende-louis-massyn/,,,,,,,,,AFR,comrades-legende-louis-massyn,
Concerto: ’n Pianis op reis met Parkinson se siekte,,,,,https://www.quicket.co.za/events/320503-concerto-n-pianis-op-reis-met-parkinson-siekte/?preview=t#/,https://woordfees.co.za/program/concerto-n-pianis-op-reis-met-parkinson-se-siekte/,,,,,,,,,AFR,concerto-n-pianis-op-reis-met-parkinson-se-siekte,
Crave,,,,,,https://woordfees.co.za/program/crave/,,,,,,,,,AFR,crave,
Da Capo!,,,,,https://www.quicket.co.za/events/318598-da-capo/?preview=t,https://woordfees.co.za/program/da-capo/,,,,,,,,,AFR,da-capo,
Daar is Pinotage in my tee,,,,,https://www.quicket.co.za/events/319862-daar-is-pinotage-in-my-tee/?preview=t,https://woordfees.co.za/program/daar-is-pinotage-in-my-tee/,,,,,,,,,AFR,daar-is-pinotage-in-my-tee,
Dagbreek-straatmyl,,,,,,https://woordfees.co.za/program/dagbreek-straatmyl/,,,,,,,,,AFR,dagbreek-straatmyl,
De(e)lulu,,,,,https://www.quicket.co.za/events/319638-neem-deel-deelulu/?preview=t,https://woordfees.co.za/program/deelulu/,,,,,,,,,AFR,deelulu,
Dead Poets Society,,,,,https://www.quicket.co.za/events/319723-dag-van-posie-dead-poets-society/?preview=t,https://woordfees.co.za/program/dead-poets-society/,,,,,,,,,AFR,dead-poets-society,
Deur die sterre gelei: Die Deneys Reitz-trilogie,,,,,https://www.quicket.co.za/events/319642-geskiedenisdag-deur-die-sterre-gelei-die-deneys-reitz-trilogie/?preview=t,https://woordfees.co.za/program/deur-die-sterre-gelei-die-deneys-reitz-trilogie/,,,,,,,,,AFR,deur-die-sterre-gelei-die-deneys-reitz-trilogie,
Die Anglo-Boereoorlog in kleur (Volume 2),,,,,https://www.quicket.co.za/events/319643-geskiedenisdag-die-anglo-boereoorlog-in-kleur-volume-2/?preview=t,https://woordfees.co.za/program/die-anglo-boereoorlog-in-kleur-volume-2/,,,,,,,,,AFR,die-anglo-boereoorlog-in-kleur-volume-2,
Die Vyftigers,,,,,https://www.quicket.co.za/events/318657-die-vyftigers/?preview=t,https://woordfees.co.za/program/die-vyftigers/,,,,,,,,,AFR,die-vyftigers,
Die deurstraalde woord,,,,,https://www.quicket.co.za/events/318523-die-deurstraalde-woord/?preview=t,https://woordfees.co.za/program/die-deurstraalde-woord/,,,,,,,,,AFR,die-deurstraalde-woord,
